ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S2477-92452022000200059-ecu","Implementación del Barómetro de Datos Abiertos 2020: desafíos y oportunidades en Chile, Colombia, Ecuador y Perú","Moncayo Vives, Guido, Ortiz Chaves, Laura Tamia, Rodríguez, Isabel Fiafilio","Estado &amp; comunes, revista de políticas y problemas públicos; 2(15); 59-76","Estado &amp; comunes, revista de políticas y problemas públicos","Español","2022","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2477-92452022000200059&lang=es" 
"S2477-92452022000200039-ecu","Revolución informacional, cuestión social y ampliación de la asistencia en Uruguay a principios del siglo XXI","Mariatti Acosta, Alejandro Gabriel","Estado &amp; comunes, revista de políticas y problemas públicos; 2(15); 39-58","Estado &amp; comunes, revista de políticas y problemas públicos","Español","2022","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2477-92452022000200039&lang=es" 
"S0187-358X2022000300059-mex","Formación Archivística en Colombia: Una mirada comparativa desde la política pública nacional sobre gestión documental","Vallejo Sierra, Ruth Helena, Pirela Morillo, Johann Enrique","Investigación bibliotecológica; 36(92); 59-83","Investigación bibliotecológica","Español","2022","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-358X2022000300059&lang=es" 
"S0123-59232022000300320-col","The mediating role of structural capital in the relationship between human capital and performance in the public administrations of Mexico and Peru","Pedraza Melo, Norma Angélica, Gala Velásquez, Bernardo De la","Estudios Gerenciales; 38(164); 320-333","Estudios Gerenciales","Inglés","2022","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232022000300320&lang=es" 
"S0120-35842022000200011-col","La lucha contra la corrupción en el territorio: control fiscal territorial y percepciones y experiencias ciudadanas en torno a la corrupción en Colombia","Pantoja-Barrios, Sebastián","Desarrollo y Sociedad; (91); 11-76","Desarrollo y Sociedad","Español","2022","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842022000200011&lang=es" 
"S2448-63882022000200209-mex","Tres clásicos de la teoría de Administración Pública en México: Tadeo Ortiz, Luis de la Rosa y José María del Castillo","Ordaz Álvarez, Arturo","Trascender, contabilidad y gestión; 7(20); 209-223","Trascender, contabilidad y gestión","Español","2022","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-63882022000200209&lang=es" 
"S2477-92452022000100057-ecu","Política socioasistencial y programas de transferencia de renta: reformas institucionales y tecnológicas en América Latina","Vecinday Garrido, María Laura, Carballo Perdomo, Yoana Paola","Estado &amp; comunes, revista de políticas y problemas públicos; 1(14); 57-74","Estado &amp; comunes, revista de políticas y problemas públicos","Español","2022","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2477-92452022000100057&lang=es" 
"S2477-92452022000100193-ecu","Constitucionalismo del desastre en Ecuador: conducta y sentencias estatales frente a la emergencia sanitaria del covid-19","Guerrero Salgado, Efrén Ernesto, Rodríguez Estévez, Felipe","Estado &amp; comunes, revista de políticas y problemas públicos; 1(14); 193-210","Estado &amp; comunes, revista de políticas y problemas públicos","Español","2022","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2477-92452022000100193&lang=es" 
"S2477-92452022000100113-ecu","Posmodernidad, gestión pública y tecnologías de la información y comunicación en la Administración pública de Ecuador","Barragán Martínez, Xavier","Estado &amp; comunes, revista de políticas y problemas públicos; 1(14); 113-131","Estado &amp; comunes, revista de políticas y problemas públicos","Español","2022","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2477-92452022000100113&lang=es" 
"S2477-92452022000100037-ecu","Principios constitucionales no convencionales de aplicación en el derecho administrativo y énfasis en el derecho electoral ecuatoriano","Andrade Ureña, Ricardo Fabricio","Estado &amp; comunes, revista de políticas y problemas públicos; 1(14); 37-55","Estado &amp; comunes, revista de políticas y problemas públicos","Español","2022","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2477-92452022000100037&lang=es" 
"S2477-92452022000100075-ecu","Presupuesto público y derechos sociales: perspectiva general sobre el cumplimiento de los derechos","Andara Suárez, Lenin José, Peña Barrios, Angello Javier","Estado &amp; comunes, revista de políticas y problemas públicos; 1(14); 75-94","Estado &amp; comunes, revista de políticas y problemas públicos","Español","2022","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2477-92452022000100075&lang=es" 
"S2448-49112022000100097-mex","Representación y reelección legislativa México: la elección federal de 2021","Valencia Escamilla, Laura","Revista mexicana de opinión pública; (32); 97-114","Revista mexicana de opinión pública","Español","2022","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-49112022000100097&lang=es" 
"S1794-38412022000100003-col","Profesionalización y desempeño, un debate a propósito del Alcalde Municipal en Colombia","Martínez Cárdena, Edgar Enrique, Pico García, Harold David","Hallazgos; 19(37); 51-84","Hallazgos","Español","2022","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-38412022000100003&lang=es" 
"S1909-44502022000100179-col","EL CONTROL FISCAL AL PRESUPUESTO PARTICIPATIVO DE MEDELLÍN. UN ABORDAJE DESDE LOS MODELOS DE ADMINISTRACIÓN PÚBLICA","Franco Vargas, María Helena, Ramírez Trujillo, Julián","Revista republicana; (32); 179-196","Revista republicana","Español","2022","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-44502022000100179&lang=es" 
"S0120-38862022000100319-col","Governance strategy for consensus expectations of students at a public university to return to classes interrupted by the pandemic","Rincón, Oscar Coronado, Molina González, María del Rosario, Mojica, Eyder Bolívar, Guillén, Javier Carreón, Lirios, Cruz García, Rosas Ferrusca, Francisco Javier","Revista de la Facultad de Derecho y Ciencias Políticas; 52(136); 319-338","Revista de la Facultad de Derecho y Ciencias Políticas","Inglés","2022","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-38862022000100319&lang=es" 
"S0120-38862022000100124-col","El principio de planeación como causal de nulidad absoluta de los contratos estatales: un análisis jurisprudencial desde el principio de taxatividad","Granada, Mateo Zapata, López Duque, Hugo Alberto","Revista de la Facultad de Derecho y Ciencias Políticas; 52(136); 124-154","Revista de la Facultad de Derecho y Ciencias Políticas","Español","2022","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-38862022000100124&lang=es" 
